,strategy,benchmark
2024-10-14,11815.184071595451,13084.774222965438
2024-10-15,11769.33022932546,12983.110506601799
2024-10-16,11807.620337979835,13039.540239680071
2024-10-17,11808.505528848853,13040.658016256455
2024-10-18,11848.230660162451,13090.821006895352
2024-10-21,11820.856200461192,13069.323175215904
2024-10-22,11817.719986886665,13062.381339992773
2024-10-23,11736.793997052899,12943.025489179425
2024-10-24,11758.97160225883,12971.01693874197
2024-10-25,11755.422571634297,12966.537532115326
2024-10-28,11776.876764271166,13006.622549537698
2024-10-29,11786.396320123158,13027.67078049026
2024-10-30,11759.66478958156,12988.259472464792
2024-10-31,11558.08502002231,12733.65127252223
2024-11-01,11600.632680718049,12787.391701560295
2024-11-04,11568.72261535423,12759.84708595093
2024-11-05,11638.59709143978,12914.13898832366
2024-11-06,11855.937725279198,13235.256277947872
2024-11-07,11936.39390659577,13337.592320321564
2024-11-08,11981.818068984234,13395.369472193646
2024-11-11,11981.309881749083,13408.131215902971
2024-11-12,11962.719741414629,13366.481587951032
2024-11-13,11967.073310299464,13372.97520583413
2024-11-14,11899.78150270239,13286.983879116337
2024-11-15,11766.601965282596,13116.79547842774
2024-11-18,11798.352846906646,13170.540057626362
2024-11-19,11819.895596613083,13218.684686848252
2024-11-20,11822.899471552122,13223.164093474896
2024-11-21,11878.426205698992,13294.148439622633
2024-11-22,11910.65989041276,13335.355383781947
2024-11-25,11935.575780938212,13380.587983680462
2024-11-26,11966.705348598223,13450.454553251817
2024-11-27,11939.504798857122,13409.698593206242
2024-11-29,12004.379032991746,13493.001999270678
2024-12-02,12012.686319965938,13517.186368216631
2024-12-03,12015.468767817367,13523.454494042859
2024-12-04,12071.394538492026,13607.430226117347
2024-12-05,12054.00682259707,13585.03595975783
2024-12-06,12074.003555165418,13610.790472780756
2024-12-09,12009.068064637153,13540.698411152533
2024-12-10,11990.418718855239,13498.600565860557
2024-12-11,12059.855653677703,13602.952202877555
2024-12-12,12005.473926581586,13532.861524636182
2024-12-13,12003.389504799314,13530.174987369677
2024-12-16,12037.672732602041,13587.949372468056
2024-12-17,12012.899069846813,13531.965089956113
2024-12-18,11744.743145874396,13128.664937617552
2024-12-19,11741.59922682833,13124.632364944091
2024-12-20,11854.145842659871,13282.273446885414
